#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:20:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d67d0f18712	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/623/A108&tab:{J/A+A/623/A108/tablea}&key:source=J/A+A/623/A108&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/623/A108/tablea
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=logA
#-out=e_logA
#-out=E_logA
#-out=Dist
#-out=e_Dist
#-out=E_Dist
#-out=AV
#-out=e_AV
#-out=E_AV
#-out=AGTO
#-out=e_AGTO
#-out=E_AGTO
#-out=Fe/H
#-out=r_Fe/H
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36230108
#Name: J/A+A/623/A108
#Title: Age of 269 GDR2 open clusters (Bossini+, 2019)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_623_A108_tablea:
#Name: J/A+A/623/A108/tablea
#Title: Summary of OCs parameters characterised in this study (tables A1-A3)
#Column	Cluster	(a20)	Cluster name	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F7.3)	Mean right ascension of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	logA	(F10.3)	Bayesian estimation of Age (in log t)	[ucd=time.age]
#Column	e_logA	(F10.3)	16th percentile confidence level of Age (in log t)	[ucd=stat.error]
#Column	E_logA	(F10.3)	84th percentile confidence level of Age (in log t)	[ucd=stat.error;stat.max]
#Column	Dist	(F10.3)	Bayesian estimation of distant modulus	[ucd=phot.mag.distMod]
#Column	e_Dist	(F10.3)	16th percentile confidence level of distance modulus	[ucd=stat.error]
#Column	E_Dist	(F10.3)	84th percentile confidence level of distance modulus	[ucd=stat.error;stat.max]
#Column	AV	(F10.3)	Bayesian estimation of extinction in V band	[ucd=phys.absorption;em.opt.V]
#Column	e_AV	(F10.3)	16th percentile confidence level of extinction in V band	[ucd=stat.error]
#Column	E_AV	(F10.3)	84th percentile confidence level of extinction in V band	[ucd=stat.error;stat.max]
#Column	AGTO	(F10.3)	Extinction in G band (GaiaDR2 Evans et al., 2018A&A...616A...4E, Cat. I/345) at the turn off of the cluster	[ucd=phys.absorption;em.opt.V]
#Column	e_AGTO	(F10.3)	16th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error]
#Column	E_AGTO	(F10.3)	84th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error;stat.max]
#Column	Fe/H	(F10.3)	Cluster metallicity assumed (in dex)	[ucd=phys.abund.Z]
#Column	r_Fe/H	(A10)	Reference for the metallicity assumed (1)	[ucd=meta.ref]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Cluster	RA_ICRS	DE_ICRS	logA	e_logA	E_logA	Dist	e_Dist	E_Dist	AV	e_AV	E_AV	AGTO	e_AGTO	E_AGTO	Fe/H	r_Fe/H	SimbadName	_RA.icrs	_DE.icrs
NGC6494             	269.237	-18.987	     8.680	     8.681	     8.679	     9.096	     9.113	     9.081	     0.851	     0.864	     0.837	     0.831	     0.843	     0.817	    -0.040	       HRS	NGC6494               	269.2370	-18.9870
NGC6633             	276.845	+06.615	     8.888	     8.894	     8.856	     7.866	     7.890	     7.841	     0.451	     0.476	     0.431	     0.440	     0.465	     0.421	    -0.080	       HRS	NGC6633               	276.8450	+06.6150
NGC6791             	290.221	+37.778	     9.927	     9.929	     9.925	    13.085	    13.091	    13.078	     0.302	     0.306	     0.297	     0.295	     0.299	     0.290	     0.400	       HRS	NGC6791               	290.2210	+37.7780
NGC6811             	294.340	+46.378	     8.936	     8.948	     8.915	    10.277	    10.289	    10.266	     0.206	     0.215	     0.199	     0.201	     0.210	     0.194	     0.000	       HRS	NGC6811               	294.3400	+46.3780
NGC6819             	295.327	+40.190	     9.301	     9.302	     9.301	    12.162	    12.172	    12.151	     0.471	     0.477	     0.466	     0.460	     0.466	     0.455	     0.000	       HRS	NGC6819               	295.3270	+40.1900
Alessi5             	160.819	-61.081	     7.723	     7.740	     7.609	     7.721	     7.777	     7.690	     0.592	     0.616	     0.562	     0.578	     0.601	     0.549	    -0.133	       D02	Cl Alessi5            	160.8190	-61.0810
Alessi6             	220.058	-66.127	     8.777	     8.803	     8.744	     9.552	     9.575	     9.530	     0.719	     0.740	     0.698	     0.702	     0.722	     0.681	    -0.382	       K13	Cl Alessi6            	220.0580	-66.1270
Alessi24            	260.764	-62.693	     7.945	     7.969	     7.906	     8.303	     8.332	     8.277	     0.337	     0.363	     0.312	     0.329	     0.354	     0.305	    -0.154	       D02	Cl Alessi24           	260.7640	-62.6930
BH99                	159.553	-59.168	     7.908	     7.943	     7.882	     8.082	     8.114	     8.056	     0.203	     0.225	     0.175	     0.198	     0.220	     0.171	     0.000	       K13	Cl VDBH 99            	159.5530	-59.1680
Collinder140        	110.882	-31.966	     7.473	     7.520	     7.429	     7.809	     7.860	     7.759	     0.105	     0.127	     0.078	     0.102	     0.124	     0.076	     0.010	       PHC	Cl Collinder140       	110.8820	-31.9660
Czernik27           	105.830	+06.382	     9.065	     9.084	     9.043	    12.969	    13.002	    12.932	     0.535	     0.569	     0.507	     0.522	     0.555	     0.495	    -0.380	       D02	Cl Czernik27          	105.8300	+06.3820
Harvard5            	186.817	-60.770	     7.812	     7.997	     7.751	    10.403	    10.431	    10.375	     0.679	     0.706	     0.651	     0.663	     0.689	     0.635	    -0.090	       PHC	Cl Harvard5           	186.8170	-60.7700
IC1369              	318.033	+47.770	     8.462	     8.464	     8.460	    12.543	    12.560	    12.530	     2.050	     2.063	     2.037	     2.001	     2.014	     1.988	     0.090	       D02	IC1369                	318.0330	+47.7700
IC2488              	141.857	-57.004	     8.200	     8.225	     8.150	    10.627	    10.644	    10.612	     0.702	     0.715	     0.689	     0.685	     0.698	     0.673	     0.080	       PHC	IC2488                	141.8570	-57.0040
IC4725              	277.937	-19.114	     7.984	     7.988	     7.974	     9.156	     9.175	     9.137	     1.087	     1.103	     1.073	     1.061	     1.077	     1.047	     0.000	       PHC	IC4725                	277.9370	-19.1140
King6               	051.982	+56.444	     8.582	     8.584	     8.465	     9.535	     9.553	     9.506	     1.106	     1.131	     1.086	     1.080	     1.104	     1.060	     0.460	       D02	Cl King6              	051.9820	+56.4440
Lynga1              	209.994	-62.152	     7.934	     8.216	     7.620	    11.762	    11.819	    11.709	     1.509	     1.562	     1.452	     1.473	     1.525	     1.417	     0.020	       PHC	Cl Lynga1             	209.9940	-62.1520
NGC381             	017.094	+61.586	     8.699	     8.775	     8.634	    10.525	    10.553	    10.492	     1.043	     1.073	     1.014	     1.018	     1.047	     0.990	     0.070	       D02	NGC381               	017.0940	+61.5860
NGC2215             	095.199	-07.277	     8.786	     8.841	     8.663	     9.839	     9.868	     9.812	     0.863	     0.896	     0.839	     0.842	     0.875	     0.819	    -0.400	       D02	NGC2215               	095.1990	-07.2770
NGC2281             	102.091	+41.060	     8.779	     8.804	     8.706	     8.465	     8.486	     8.448	     0.137	     0.165	     0.122	     0.134	     0.161	     0.119	     0.130	       D02	NGC2281               	102.0910	+41.0600
NGC2343             	107.029	-10.619	     7.934	     7.960	     7.896	    10.070	    10.095	    10.044	     0.494	     0.518	     0.471	     0.482	     0.506	     0.460	     0.030	       PHC	NGC2343               	107.0290	-10.6190
NGC2422             	114.147	-14.489	     8.104	     8.120	     8.087	     8.255	     8.275	     8.238	     0.197	     0.213	     0.181	     0.192	     0.208	     0.177	     0.090	       PHC	NGC2422               	114.1470	-14.4890
NGC2546             	123.082	-37.661	     7.962	     7.993	     7.942	     9.819	     9.840	     9.798	     0.464	     0.480	     0.444	     0.453	     0.469	     0.433	     0.010	       PHC	NGC2546               	123.0820	-37.6610
NGC2658             	130.868	-32.662	     8.701	     8.710	     8.689	    12.871	    12.888	    12.855	     0.706	     0.720	     0.692	     0.689	     0.703	     0.675	    -0.010	       PHC	NGC2658               	130.8680	-32.6620
NGC2818             	139.044	-36.624	     8.962	     8.963	     8.955	    12.491	    12.515	    12.475	     0.603	     0.621	     0.588	     0.589	     0.606	     0.574	    -0.170	       D02	NGC2818               	139.0440	-36.6240
NGC2972             	145.058	-50.326	     8.642	     8.677	     8.599	    11.405	    11.435	    11.376	     1.198	     1.227	     1.172	     1.169	     1.198	     1.144	    -0.090	       PHC	NGC2972               	145.0580	-50.3260
NGC3228             	155.378	-51.814	     7.424	     7.458	     7.415	     8.341	     8.366	     8.309	     0.131	     0.150	     0.109	     0.128	     0.146	     0.106	     0.010	       PHC	NGC3228               	155.3780	-51.8140
NGC4609             	190.582	-62.995	     7.523	     7.536	     7.508	    10.876	    10.901	    10.860	     1.069	     1.089	     1.047	     1.043	     1.063	     1.022	     0.050	       D02	NGC4609               	190.5820	-62.9950
NGC5138             	201.829	-59.023	     7.638	     7.644	     7.631	    11.495	    11.518	    11.472	     0.755	     0.776	     0.738	     0.737	     0.757	     0.720	     0.120	       PHC	NGC5138               	201.8290	-59.0230
NGC5281             	206.614	-62.916	     7.669	     7.765	     7.636	    10.936	    10.963	    10.913	     0.816	     0.839	     0.793	     0.796	     0.819	     0.774	    -0.020	       PHC	NGC5281               	206.6140	-62.9160
NGC5316             	208.516	-61.883	     8.184	     8.191	     8.172	    10.788	    10.807	    10.767	     0.772	     0.788	     0.756	     0.754	     0.769	     0.738	     0.130	       PHC	NGC5316               	208.5160	-61.8830
NGC5460             	211.847	-48.285	     8.110	     8.239	     8.020	     9.250	     9.275	     9.226	     0.328	     0.350	     0.307	     0.320	     0.342	     0.300	     0.030	       PHC	NGC5460               	211.8470	-48.2850
NGC5617             	217.452	-60.719	     8.140	     8.144	     8.134	    11.657	    11.672	    11.641	     1.592	     1.604	     1.580	     1.554	     1.566	     1.542	    -0.180	       D02	NGC5617               	217.4520	-60.7190
NGC6025             	240.779	-60.430	     8.096	     8.106	     8.069	     9.468	     9.487	     9.451	     0.406	     0.423	     0.388	     0.396	     0.413	     0.379	     0.190	       D02	NGC6025               	240.7790	-60.4300
NGC6204             	251.538	-47.027	     7.576	     7.597	     7.557	    10.503	    10.530	    10.478	     1.291	     1.315	     1.264	     1.260	     1.284	     1.234	     0.020	       PHC	NGC6204               	251.5380	-47.0270
NGC6208             	252.336	-53.714	     9.223	     9.230	     9.222	    10.345	    10.363	    10.325	     0.631	     0.643	     0.618	     0.616	     0.628	     0.603	    -0.010	       PHC	NGC6208               	252.3360	-53.7140
NGC6716             	283.616	-19.888	     7.932	     7.964	     7.912	     9.116	     9.147	     9.081	     0.707	     0.737	     0.678	     0.690	     0.719	     0.662	    -0.310	       D02	NGC6716               	283.6160	-19.8880
NGC6830             	297.718	+23.101	     8.005	     8.132	     7.815	    11.871	    11.900	    11.847	     1.514	     1.540	     1.486	     1.478	     1.503	     1.450	     0.220	       PHC	NGC6830               	297.7180	+23.1010
NGC6866             	300.983	+44.158	     8.890	     8.927	     7.888	    10.640	    10.663	    10.588	     0.398	     0.452	     0.375	     0.388	     0.441	     0.366	    -0.013	       D02	NGC6866               	300.9830	+44.1580
NGC6940             	308.626	+28.278	     9.010	     9.671	     8.977	    10.070	    10.088	     9.957	     0.455	     0.476	     0.007	     0.444	     0.465	     0.007	     0.150	       PHC	NGC6940               	308.6260	+28.2780
NGC7092             	322.889	+48.247	     8.491	     8.585	     8.403	     7.218	     7.251	     7.186	     0.049	     0.061	     0.037	     0.048	     0.060	     0.036	     0.000	       PHC	NGC7092               	322.8890	+48.2470
NGC7209             	331.224	+46.508	     8.533	     8.571	     8.522	    10.336	    10.353	    10.321	     0.546	     0.561	     0.532	     0.533	     0.548	     0.519	     0.070	       PHC	NGC7209               	331.2240	+46.5080
NGC7243             	333.788	+49.830	     8.006	     8.022	     7.987	     9.743	     9.762	     9.725	     0.573	     0.592	     0.552	     0.559	     0.578	     0.539	     0.030	       PHC	NGC7243               	333.7880	+49.8300
NGC7296             	337.000	+52.321	     7.925	     8.183	     7.840	    12.074	    12.100	    12.051	     0.709	     0.735	     0.683	     0.692	     0.717	     0.667	    -0.020	       PHC	NGC7296               	337.0000	+52.3210
Pismis4             	128.790	-44.407	     7.905	     7.922	     7.861	     9.114	     9.135	     9.094	     0.093	     0.103	     0.082	     0.091	     0.101	     0.080	    -0.200	       D02	Cl Pismis4            	128.7900	-44.4070
Ruprecht1           	099.084	-14.157	     8.502	     8.642	     8.465	    10.787	    10.813	    10.765	     0.697	     0.719	     0.674	     0.680	     0.702	     0.658	    -0.250	       D02	Cl Ruprecht1          	099.0840	-14.1570
Ruprecht93          	166.037	-61.372	     8.519	     8.564	     8.449	    11.677	    11.702	    11.654	     0.642	     0.666	     0.618	     0.627	     0.650	     0.603	     0.010	       K13	Cl Ruprecht93         	166.0370	-61.3720
Ruprecht115         	243.215	-52.393	     8.474	     8.520	     8.398	    11.908	    11.946	    11.871	     2.317	     2.353	     2.281	     2.262	     2.297	     2.226	    -0.102	       PHC	Cl Ruprecht115        	243.2150	-52.3930
Ruprecht151         	115.315	-16.279	     8.614	     8.641	     8.569	    10.359	    10.406	    10.321	     0.587	     0.623	     0.544	     0.573	     0.608	     0.531	     0.153	       D02	Cl Ruprecht151        	115.3150	-16.2790
Trumpler10          	131.943	-42.566	     7.740	     7.751	     7.721	     7.816	     7.844	     7.797	     0.138	     0.152	     0.119	     0.135	     0.148	     0.116	    -0.120	       PHC	Cl Trumpler 10        	131.9430	-42.5660
Trumpler22          	217.783	-61.169	     7.385	     7.412	     7.371	    11.869	    11.891	    11.852	     1.834	     1.851	     1.816	     1.790	     1.807	     1.773	    -0.170	       D02	Cl Trumpler 22        	217.7830	-61.1690
ASCC6               	026.846	+57.722	     7.677	     7.695	     7.658	    11.101	    11.123	    11.079	     0.872	     0.893	     0.853	     0.851	     0.872	     0.833	     0.000	        NC	[KPR2005] 6           	026.8460	+57.7220
ASCC10              	051.870	+34.981	     8.599	     8.637	     8.495	     8.913	     8.950	     8.879	     0.443	     0.477	     0.411	     0.432	     0.466	     0.401	     0.000	        NC	[KPR2005] 10          	051.8700	+34.9810
ASCC13              	078.255	+44.417	     7.647	     7.664	     7.627	    10.151	    10.181	    10.121	     0.678	     0.701	     0.652	     0.662	     0.684	     0.636	     0.000	        NC	[KPR2005] 13          	078.2550	+44.4170
ASCC16              	081.198	+01.655	     7.047	     7.085	     7.045	     7.510	     7.534	     7.450	     0.093	     0.108	     0.078	     0.091	     0.105	     0.076	     0.000	        NC	[KPR2005] 16          	081.1980	+01.6550
ASCC19              	081.982	-01.987	     7.086	     7.087	     7.085	     7.478	     7.513	     7.450	     0.056	     0.066	     0.045	     0.055	     0.064	     0.044	     0.000	        NC	[KPR2005] 19          	081.9820	-01.9870
